System:,Log-Version,0.1,Lib-Version,4.4
PC:,Host-Name,W7-DESKTOP-1,Time,2014-04-23T13:44:43.5726266Z




SignalName: time [ms],D0 P,D0 V,D0 A,D1 P,D1 V,D1 A
Uri: ,,,,,,
Unit: ms,rad,rad/s,rad/s^2,rad,rad/s,rad/s^2
30.2,-0.2,0,0,0.5725329511,-20.2019348145,3000
30.3,-0.2,0,0,0.5705277568,-19.9019355774,3000
30.4,-0.2,0,0,0.5685525644,-19.601934433,3000
30.5,-0.2,0,0,0.56660737,-19.3019351959,3000
30.6,-0.2,0,0,0.5646921797,-19.0019359589,3000
30.7,-0.2,0,0,0.5628069874,-18.7019329071,3000
30.8,-0.2,0,0,0.5609517931,-18.40193367,3000
30.9,-0.2,0,0,0.5591266004,-18.101934433,3000
31,-0.2,0,0,0.5573314042,-17.8019351959,3000
31.1,-0.2,0,0,0.5555662101,-17.5019340515,3000
31.2,-0.2,0,0,0.5538310178,-17.2019348145,3000
31.3,-0.2,0,0,0.5521258228,-16.90193367,3000
31.4,-0.2,0,0,0.550450633,-16.601934433,3000
31.5,-0.2,0,0,0.5488054382,-16.3019351959,3000
31.6,-0.2,0,0,0.5471902399,-16.0019359589,3000
31.7,-0.2,0,0,0.5456050485,-15.7019348145,3000
31.8,-0.2,0,0,0.5440498565,-15.4019355774,3000
31.9,-0.2,0,0,0.5425246637,-15.101934433,3000
32,-0.2,0,0,0.5410294689,-14.8019342422,3000
32.1,-0.2,0,0,0.5395642736,-14.5019340515,3000
32.2,-0.2,0,0,0.5381290847,-14.2019348145,3000
32.3,-0.2,0,0,0.5367238868,-13.9019355774,3000
32.4,-0.2,0,0,0.5353486945,-13.601934433,3000
32.5,-0.2,0,0,0.5340035027,-13.3019351959,3000
32.6,-0.2,0,0,0.5326883108,-13.0019340515,3000
32.7,-0.2,0,0,0.531403116,-12.7019348145,3000
32.8,-0.2,0,0,0.5301479204,-12.4019355774,3000
32.9,-0.2,0,0,0.528922732,-12.1019353867,3000
33,-0.2,0,0,0.5277275336,-11.8019342422,3000
33.1,-0.2,0,0,0.5265623413,-11.5019359589,3000
33.2,-0.2,0,0,0.5254271457,-11.2019357681,3000
33.3,-0.2,0,0,0.5243219507,-10.9019355774,3000
33.4,-0.2,0,0,0.523246763,-10.6019353867,3000
33.5,-0.2,0,0,0.5222015644,-10.3019351959,3000
33.6,-0.2,0,0,0.5211863716,-10.0019359589,3000
33.7,-0.2,0,0,0.5202011759,-9.7019357681,3000
33.8,-0.2,0,0,0.5192459812,-9.4019355774,3000
33.9,-0.2,0,0,0.5183207691,-9.1027603149,2983.4946289063
34,-0.2,0,0,0.5174253837,-8.8052358627,2966.9892578125
34.1,-0.2,0,0,0.516559609,-8.5110359192,2916.9895019531
34.2,-0.2,0,0,0.515723007,-8.2218379974,2866.9897460938
34.3,-0.2,0,0,0.5149150747,-7.9376382828,2816.9895019531
34.4,-0.2,0,0,0.5141353128,-7.6584396362,2766.9897460938
34.5,-0.2,0,0,0.5133832202,-7.3842406273,2716.9895019531
34.6,-0.2,0,0,0.5126582982,-7.1150417328,2666.9897460938
34.7,-0.2,0,0,0.5119600452,-6.8508424759,2616.9897460938
34.8,-0.2,0,0,0.5112879626,-6.5916438103,2566.9897460938
34.9,-0.2,0,0,0.5106415499,-6.3374447823,2516.9897460938
35,-0.2,0,0,0.5100203068,-6.0882458687,2466.9895019531
35.1,-0.2,0,0,0.5094237344,-5.8440465927,2416.9897460938
35.2,-0.2,0,0,0.5088513305,-5.604847908,2366.9895019531
35.3,-0.2,0,0,0.5083025978,-5.3706493378,2316.9897460938
35.4,-0.2,0,0,0.5077770341,-5.1414499283,2266.9895019531
35.5,-0.2,0,0,0.5072741413,-4.9172511101,2216.9897460938
35.6,-0.2,0,0,0.5067934177,-4.6980524063,2166.9897460938
35.7,-0.2,0,0,0.5063343637,-4.4838528633,2116.9897460938
35.8,-0.2,0,0,0.5058964803,-4.2746543884,2066.9897460938
35.9,-0.2,0,0,0.5054792664,-4.0704550743,2016.9896240234
36,-0.2,0,0,0.5050822217,-3.8712563515,1966.9897460938
36.1,-0.2,0,0,0.5047048484,-3.6770572662,1916.9897460938
36.2,-0.2,0,0,0.5043466445,-3.4878585339,1866.9897460938
36.3,-0.2,0,0,0.5040071106,-3.3036592007,1816.9897460938
36.4,-0.2,0,0,0.5036857459,-3.1244602203,1766.9897460938
36.5,-0.2,0,0,0.5033820509,-2.9502613544,1716.9897460938
36.6,-0.2,0,0,0.5030955272,-2.781062603,1666.9897460938
36.7,-0.2,0,0,0.502825673,-2.6168632507,1616.9897460938
36.8,-0.2,0,0,0.5025719872,-2.4576644897,1566.9897460938
36.9,-0.2,0,0,0.5023339728,-2.3034656048,1516.9897460938
37,-0.2,0,0,0.5021111281,-2.1542665958,1466.9897460938
37.1,-0.2,0,0,0.5019029535,-2.0100674629,1416.9897460938
37.2,-0.2,0,0,0.5017089481,-1.8708686829,1366.9897460938
37.3,-0.2,0,0,0.501528613,-1.7366696596,1316.9897460938
37.4,-0.2,0,0,0.5013614462,-1.6074706316,1266.9897460938
37.5,-0.2,0,0,0.5012069514,-1.4832718372,1216.9897460938
37.6,-0.2,0,0,0.5010646258,-1.3640725613,1166.9897460938
37.7,-0.2,0,0,0.5009339699,-1.2498737574,1116.9897460938
37.8,-0.2,0,0,0.5008144849,-1.1406748295,1066.9897460938
37.9,-0.2,0,0,0.5007056692,-1.036476016,1016.9898681641
38,-0.2,0,0,0.5006070228,-0.9372768998,966.9897460938
38.1,-0.2,0,0,0.5005180463,-0.8430776,916.9898681641
38.2,-0.2,0,0,0.5004382401,-0.7538790703,866.9897460938
38.3,-0.2,0,0,0.5003671031,-0.6696796417,816.9898071289
38.4,-0.2,0,0,0.5003041378,-0.5904809237,766.9898681641
38.5,-0.2,0,0,0.5002488396,-0.5162817836,716.9896850586
38.6,-0.2,0,0,0.5002007151,-0.4470830262,666.9898071289
38.7,-0.2,0,0,0.5001592564,-0.3828837872,616.9897460938
38.8,-0.2,0,0,0.5001239707,-0.3236849308,566.9896850586
38.9,-0.2,0,0,0.5000943532,-0.2694862187,516.9898681641
39,-0.2,0,0,0.5000699055,-0.2202872932,466.9897460938
39.1,-0.2,0,0,0.5000501284,-0.1760884821,416.9896850586
39.2,-0.2,0,0,0.5000345223,-0.1368891597,366.9899291992
39.3,-0.2,0,0,0.5000225839,-0.1026899442,316.9897766113
39.4,-0.2,0,0,0.5000138185,-0.0734911487,266.9898681641
39.5,-0.2,0,0,0.5000077197,-0.0492918454,216.9899291992
39.6,-0.2,0,0,0.500003793,-0.0300936103,166.9897766113
39.7,-0.2,0,0,0.5000015358,-0.0158942118,116.9898529053
39.8,-0.2,0,0,0.5000004468,-0.006695251,66.9899368286
39.9,-0.2,0,0,0.5000000566,-0.0016725304,33.4948883057
40,-0.2,0,0,0.5000000026,2.56E-006,0.000490643
40.1,-0.2,0,0,0.5,0,0
