System:,Log-Version,0.1,Lib-Version,4.4
PC:,Host-Name,W7-DESKTOP-1,Time,2014-04-23T13:44:43.5726266Z




SignalName: time [ms],D0 P,D0 V,D0 A,D1 P,D1 V,D1 A
Uri: ,,,,,,
Unit: ms,rad,rad/s,rad/s^2,rad,rad/s,rad/s^2
7.9,0.0594933684,-14.6465415955,-2770.095703125,1.1889457977,-6.5024991035,-2549.9997558594
8,0.0580149473,-14.9210519791,-2720.095703125,1.1882827124,-6.7600002289,-2600
8.1,0.0565093249,-15.1905612946,-2670.095703125,1.1875936291,-7.0224995613,-2650
8.2,0.0549770016,-15.4550704956,-2620.095703125,1.1868780488,-7.2899990082,-2699.9997558594
8.3,0.0534184771,-15.7145805359,-2570.095703125,1.1861354616,-7.5625,-2750
8.4,0.0518342527,-15.9690895081,-2520.095703125,1.1853653789,-7.8399996758,-2800
8.5,0.0502248263,-16.2185993195,-2470.095703125,1.1845672983,-8.1224985123,-2849.9997558594
8.6,0.0485906988,-16.4631080627,-2420.095703125,1.1837407132,-8.4099998474,-2900
8.7,0.0469323703,-16.7026176453,-2370.095703125,1.1828851295,-8.7024993896,-2950
8.8,0.0452503417,-16.937128067,-2320.095703125,1.1820000457,-9,-3000
8.9,0.0435451116,-17.1666374207,-2270.095703125,1.1810850473,-9.2999992371,-3000
9,0.0418171808,-17.3911476135,-2220.095703125,1.1801400473,-9.5999994278,-3000
9.1,0.0400670494,-17.6106567383,-2170.095703125,1.1791650471,-9.8999996185,-3000
9.2,0.0382952159,-17.8251667023,-2120.095703125,1.1781600476,-10.1999998093,-3000
9.3,0.0365021824,-18.0346755981,-2070.095703125,1.177125047,-10.5,-3000
9.4,0.0346884502,-18.2391853333,-2020.0958251953,1.1760600479,-10.7999992371,-3000
9.5,0.0328545141,-18.4386959076,-1970.095703125,1.1749650482,-11.0999994278,-3000
9.6,0.031000877,-18.6332054138,-1920.095703125,1.1738400478,-11.3999996185,-3000
9.7,0.0291280355,-18.8227157593,-1870.0958251953,1.1726850481,-11.6999988556,-3000
9.8,0.0272364977,-19.0072250366,-1820.095703125,1.1715000477,-12,-3000
9.9,0.0253267618,-19.1867332458,-1770.095703125,1.1702850484,-12.2999992371,-3000
10,0.0233993198,-19.3612442017,-1720.095703125,1.1690400485,-12.5999994278,-3000
10.1,0.02145468,-19.5307540894,-1670.0959472656,1.1677650483,-12.8999996185,-3000
10.2,0.0194933363,-19.6952629089,-1620.0958251953,1.1664600484,-13.1999988556,-3000
10.3,0.0175157921,-19.8547706604,-1570.095703125,1.1651250483,-13.5,-3000
10.4,0.0155225469,-20.0092811584,-1520.0958251953,1.1637600479,-13.7999992371,-3000
10.5,0.0135141018,-20.1587905884,-1470.0958251953,1.1623650496,-14.0999994278,-3000
10.6,0.0114909561,-20.3032989502,-1420.0958251953,1.1609400492,-14.3999996185,-3000
10.7,0.0094536089,-20.4428100586,-1370.095703125,1.1594850491,-14.6999988556,-3000
10.8,0.0074025606,-20.5773200989,-1320.0959472656,1.1580000473,-15,-3000
10.9,0.0053383131,-20.706829071,-1270.0959472656,1.15648505,-15.2999992371,-3000
11,0.0032613629,-20.8313388824,-1220.0958251953,1.1549400506,-15.5999994278,-3000
11.1,0.0011722104,-20.9508476257,-1170.0958251953,1.1533650486,-15.8999996185,-3000
11.2,-0.0009286394,-21.0653572083,-1120.0958251953,1.1517600464,-16.2000007629,-3000
11.3,-0.0030406939,-21.17486763,-1070.0958251953,1.1501250495,-16.5,-3000
11.4,-0.0051634457,-21.2793769836,-1020.0958251953,1.1484600496,-16.7999992371,-3000
11.5,-0.0072964019,-21.3788871765,-970.0958251953,1.14676505,-17.0999984741,-3000
11.6,-0.0094390591,-21.4733963013,-920.0957641602,1.1450400534,-17.3999977112,-3000
11.7,-0.0115909123,-21.5629062653,-870.0959472656,1.143285051,-17.6999988556,-3000
11.8,-0.0137514699,-21.6474151611,-820.0958862305,1.1415000483,-18,-3000
11.9,-0.0159202304,-21.7269248962,-770.0958251953,1.1396850487,-18.2999992371,-3000
12,-0.0180966953,-21.8014354706,-720.0957641602,1.1378400526,-18.5999984741,-3000
12.1,-0.0202803527,-21.8709449768,-670.0958251953,1.1359650497,-18.8999996185,-3000
12.2,-0.0224707131,-21.9354534149,-620.0957641602,1.1340600471,-19.2000007629,-3000
12.3,-0.024667276,-21.9949645996,-570.0957641602,1.1321250508,-19.5,-3000
12.4,-0.0268695401,-22.0494728088,-520.0958251953,1.1301600514,-19.7999992371,-3000
12.5,-0.0290770019,-22.0989837646,-470.0959472656,1.1281650518,-20.0999984741,-3000
12.6,-0.0312891719,-22.1434936523,-420.0958862305,1.1261400487,-20.3999996185,-3000
12.7,-0.0335055394,-22.1830024719,-370.0957641602,1.1240850529,-20.6999988556,-3000
12.8,-0.0357255984,-22.2175102234,-320.0959472656,1.1220000498,-21,-3000
12.9,-0.0379488697,-22.2470207214,-270.0958862305,1.119885054,-21.2999992371,-3000
13,-0.0401748342,-22.2715301514,-220.0957946777,1.1177400514,-21.5999984741,-3000
13.1,-0.042403011,-22.2910385132,-170.0959320068,1.1155650555,-21.8999977112,-3000
13.2,-0.0446328749,-22.3055496216,-120.0958862305,1.1133600557,-22.1999988556,-3000
13.3,-0.0468639579,-22.3150596619,-70.0957794189,1.1111250487,-22.5,-3000
13.4,-0.049095726,-22.319568634,-20.0957832336,1.1088600531,-22.7999992371,-3000
13.5,-0.0513277001,-22.3190784454,29.9042167664,1.1065650503,-23.0999984741,-3000
13.6,-0.0535593718,-22.3135871887,79.9040679932,1.1042400459,-23.3999996185,-3000
